STORE_ID,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_ID,MRP,CP,DISCOUNT,SP,Date
YR4591,New York%,Cosmetics,86338500W,$14,$9.1,$1.12,$12.88,2019-11-26
YR4591,New York,Groceries,86437377D,$31,$21.7,$1.55,$29.45,2019-11-26
YR4591,New York,Cosmetics,75077514,$78,$53.82,$2.34,$75.66,2019-11-26
YR4591,New York#,Fashion,68351135O,$13,$8.58,$0.26,$12.74,2019-11-26
YR4591,New York),Fashion,98654174\,$68,$46.24,$6.8,$61.2,2019-11-26
YR4591,New York$,Kitchen,81117248O,$27,$19.71,$2.16,$24.84,2019-11-26
YR4591,New York,Fashion,96215209V,$34,$23.12,$1.02,$32.98,2019-11-26
YR4591,New York,Cosmetics,54620971,$42,$26.88,$3.78,$38.22,2019-11-26
YR4591,New York*,Furniture,13194274,$77,$51.59,$4.62,$72.38,2019-11-26
YR4591,"New York""",Cosmetics,95789489,$46,$34.5,$3.22,$42.78,2019-11-26
YR4591,New York,Kitchen,75349426,$74,$48.1,$1.48,$72.52,2019-11-26
YR4591,New York,Groceries,45373229J,$35,$23.1,$3.15,$31.85,2019-11-26
YR4591,New York',Education,63349609,$59,$41.3,$1.18,$57.82,2019-11-26
YR4591,New York*,Fashion,62481689Q,$10,$6.1,$0.2,$9.8,2019-11-26
YR6219,New York,Furniture,93312072,$51,$30.6,$5.1,$45.9,2019-11-26
YR6219,New York!,Groceries,59380798S,$86,$51.6,$6.88,$79.12,2019-11-26
YR6219,New York,Groceries,59259948P,$47,$35.25,$3.76,$43.24,2019-11-26
YR6219,New York,Furniture,41181945N,$47,$32.43,$4.7,$42.3,2019-11-26
YR6219,New York,Electronics,35988159I,$28,$20.44,$1.12,$26.88,2019-11-26
YR6219,New York+,Groceries,19505920C,$49,$29.89,$2.94,$46.06,2019-11-26
YR6219,New York,Kitchen,37421875,$51,$35.19,$4.08,$46.92,2019-11-26
YR6219,New York#,Cosmetics,36705017D,$52,$33.28,$1.04,$50.96,2019-11-26
YR6219,New York*,Fashion,54549560U,$21,$15.75,$2.1,$18.9,2019-11-26
YR6219,New York!,Groceries,36279296,$49,$29.4,$1.47,$47.53,2019-11-26
YR6219,New York,Furniture,27759399,$97,$72.75,$4.85,$92.15,2019-11-26
YR6219,New York),Kitchen,68916931^,$37,$26.64,$2.96,$34.04,2019-11-26
YR6219,New York,Furniture,67859497,$42,$27.72,$0.84,$41.16,2019-11-26
YR6219,New York,Furniture,42033386M,$23,$16.1,$0.46,$22.54,2019-11-26
YR6219,New York,Furniture,60517883`,$16,$10.88,$0.96,$15.04,2019-11-26
YR6219,New York(,Kitchen,27201843,$59,$37.17,$4.72,$54.28,2019-11-26
YR6219,New York!,Furniture,83479309],$59,$42.48,$3.54,$55.46,2019-11-26
YR6219,New York(,Electronics,56667175,$36,$25.92,$3.6,$32.4,2019-11-26
YR6219,New York#,Furniture,43862609Z,$27,$17.01,$1.08,$25.92,2019-11-26
YR6219,New York,Electronics,62929382,$13,$8.45,$1.3,$11.7,2019-11-26
YR6219,New York,Education,98140563J,$24,$17.76,$2.4,$21.6,2019-11-26
YR6219,New York,Fashion,68488464Y,$91,$64.61,$9.1,$81.9,2019-11-26
YR6219,New York),Education,86816406,$30,$21.6,$1.2,$28.8,2019-11-26
YR6219,New York,Education,99947814B,$42,$28.56,$1.26,$40.74,2019-11-26
YR6219,New York,Kitchen,90977478F,$26,$18.46,$1.56,$24.44,2019-11-26
YR6219,New York(,Kitchen,79853820R,$63,$37.8,$3.15,$59.85,2019-11-26
YR6219,New York,Education,91966247,$15,$10.05,$0.75,$14.25,2019-11-26
YR6219,New York#,Furniture,61031494,$73,$54.75,$1.46,$71.54,2019-11-26
YR6219,New York,Kitchen,37097778,$55,$39.05,$1.65,$53.35,2019-11-26
YR6219,New York&,Furniture,83693542,$57,$37.62,$5.13,$51.87,2019-11-26
YR1845,New York!,Electronics,79307250,$25,$17.75,$0.75,$24.25,2019-11-26
YR1845,New York!,Education,63236999,$87,$62.64,$8.7,$78.3,2019-11-26
YR1845,New York,Education,17492675,$21,$14.7,$1.68,$19.32,2019-11-26
YR1845,New York*,Cosmetics,21434020^,$66,$45.54,$5.94,$60.06,2019-11-26
YR1845,New York,Groceries,89867858,$75,$54.75,$3,$72,2019-11-26
YR1845,New York%,Electronics,97580261,$68,$40.8,$5.44,$62.56,2019-11-26
YR1845,New York,Furniture,99189758,$46,$32.2,$3.68,$42.32,2019-11-26
YR1845,New York,Fashion,32423095O,$71,$46.15,$2.84,$68.16,2019-11-26
YR1845,"New York""",Electronics,38138732,$55,$40.7,$3.3,$51.7,2019-11-26
YR1845,New York+,Kitchen,49383239,$67,$44.89,$2.68,$64.32,2019-11-26
YR1845,New York),Groceries,59806518,$97,$68.87,$5.82,$91.18,2019-11-26
YR1845,New York,Fashion,91370239,$23,$16.79,$2.3,$20.7,2019-11-26
YR1845,New York,Education,62992553],$55,$33,$4.4,$50.6,2019-11-26
YR1845,"New York""",Kitchen,66700439,$69,$42.78,$4.83,$64.17,2019-11-26
YR1845,New York*,Electronics,78744201,$70,$46.2,$2.8,$67.2,2019-11-26
YR1845,New York*,Electronics,43359985,$67,$40.87,$1.34,$65.66,2019-11-26
YR1845,New York,Fashion,50490112,$14,$8.96,$1.4,$12.6,2019-11-26
YR1845,New York,Education,84866333C,$47,$31.49,$1.88,$45.12,2019-11-26
YR1845,New York,Cosmetics,65420532,$28,$21,$2.52,$25.48,2019-11-26
YR1845,New York%,Electronics,81834106,$51,$34.68,$3.06,$47.94,2019-11-26
YR1845,New York$,Electronics,68763122,$25,$16,$2,$23,2019-11-26
YR1845,New York',Kitchen,40237121,$94,$67.68,$6.58,$87.42,2019-11-26
YR1845,New York,Cosmetics,50234680P,$44,$29.48,$1.76,$42.24,2019-11-26
YR1845,New York,Groceries,56241455X,$48,$30.24,$2.4,$45.6,2019-11-26
YR1845,New York%,Electronics,10277404Z,$26,$16.9,$1.04,$24.96,2019-11-26
YR1845,New York+,Groceries,60693664,$64,$42.24,$3.84,$60.16,2019-11-26
YR1845,New York&,Furniture,62962341U,$79,$57.67,$4.74,$74.26,2019-11-26
YR1845,New York',Groceries,54755554,$43,$29.24,$2.58,$40.42,2019-11-26
YR1845,New York,Fashion,57622985,$77,$48.51,$5.39,$71.61,2019-11-26
YR1845,New York,Cosmetics,70913696,$78,$53.04,$5.46,$72.54,2019-11-26
YR1845,New York,Kitchen,22422790,$51,$36.72,$4.59,$46.41,2019-11-26
YR1845,New York,Kitchen,26962890,$48,$35.04,$3.84,$44.16,2019-11-26
YR1845,New York,Fashion,93295593K,$12,$7.92,$0.84,$11.16,2019-11-26
YR6083,New York!,Electronics,29231567W,$86,$56.76,$2.58,$83.42,2019-11-26
YR6083,New York,Groceries,78197631E,$20,$14.2,$1.2,$18.8,2019-11-26
YR6083,New York ,Electronics,97426452U,$43,$30.96,$0.86,$42.14,2019-11-26
YR6083,New York%,Furniture,30055541,$97,$70.81,$8.73,$88.27,2019-11-26
YR6083,New York*,Fashion,73572387,$46,$28.06,$1.38,$44.62,2019-11-26
YR6083,New York,Cosmetics,63970336L,$91,$55.51,$4.55,$86.45,2019-11-26
YR6083,New York%,Furniture,42222900,$69,$48.99,$4.14,$64.86,2019-11-26
YR6083,New York,Cosmetics,79906005P,$62,$44.02,$1.24,$60.76,2019-11-26
YR6083,New York!,Kitchen,69155883],$46,$27.6,$0.92,$45.08,2019-11-26
YR6083,New York,Furniture,63692932Q,$67,$40.87,$6.7,$60.3,2019-11-26
YR6083,New York,Cosmetics,39588928,$70,$45.5,$1.4,$68.6,2019-11-26
YR6083,New York ,Electronics,14781799,$57,$36.48,$5.13,$51.87,2019-11-26
YR6083,New York ,Kitchen,78233337Z,$65,$44.2,$5.2,$59.8,2019-11-26
YR6083,New York%,Furniture,75066528],$92,$69,$8.28,$83.72,2019-11-26
YR6083,New York&,Education,38377685,$88,$64.24,$3.52,$84.48,2019-11-26
YR6083,New York,Cosmetics,37388916P,$54,$32.4,$4.86,$49.14,2019-11-26
YR6083,New York&,Furniture,27374877,$17,$11.9,$1.7,$15.3,2019-11-26
YR6083,New York,Electronics,27355651Z,$21,$14.49,$0.63,$20.37,2019-11-26
YR6083,New York,Fashion,65027770,$45,$33.3,$1.35,$43.65,2019-11-26
YR6083,New York*,Cosmetics,34812622,$39,$25.74,$1.17,$37.83,2019-11-26
YR6083,New York,Cosmetics,67398071[,$82,$59.04,$2.46,$79.54,2019-11-26
YR6083,New York,Cosmetics,90842895C,$58,$38.28,$5.22,$52.78,2019-11-26
YR6083,New York,Education,58864440,$20,$13.6,$1.6,$18.4,2019-11-26
YR6083,New York,Furniture,52407226,$18,$11.88,$1.8,$16.2,2019-11-26
YR6083,New York,Electronics,58801269A,$66,$41.58,$6.6,$59.4,2019-11-26
YR6083,New York,Education,84852600,$72,$48.96,$5.76,$66.24,2019-11-26
YR6083,New York,Education,24878234,$51,$32.64,$2.04,$48.96,2019-11-26
YR6083,New York,Furniture,48018188,$28,$19.88,$0.56,$27.44,2019-11-26
YR6083,New York(,Fashion,12683410,$18,$12.06,$1.44,$16.56,2019-11-26
YR6083,New York,Education,19212036`,$78,$58.5,$3.9,$74.1,2019-11-26
YR6083,New York,Groceries,72910461,$60,$43.8,$5.4,$54.6,2019-11-26
YR6083,New York!,Furniture,65640258,$52,$39,$2.08,$49.92,2019-11-26
YR6083,New York#,Furniture,38970947K,$15,$9.6,$0.3,$14.7,2019-11-26
YR6083,New York!,Furniture,30365905],$93,$63.24,$1.86,$91.14,2019-11-26
YR6083,New York,Fashion,42980957S,$67,$50.25,$2.01,$64.99,2019-11-26
YR6083,New York+,Cosmetics,90859375,$54,$32.4,$5.4,$48.6,2019-11-26
YR6083,New York,Kitchen,11642456L,$88,$57.2,$2.64,$85.36,2019-11-26
YR6083,New York(,Electronics,70334167,$100,$67,$9,$91,2019-11-26
YR4165,New York,Kitchen,10975036,$71,$46.15,$4.26,$66.74,2019-11-26
YR4165,"New York""",Electronics,50679626],$95,$62.7,$1.9,$93.1,2019-11-26
YR4165,New York,Cosmetics,90551757,$83,$58.93,$6.64,$76.36,2019-11-26
YR4165,New York%,Kitchen,87873840A,$57,$35.34,$2.28,$54.72,2019-11-26
YR4165,New York*,Fashion,53796997D,$54,$34.56,$1.62,$52.38,2019-11-26
YR4165,New York',Fashion,84220886,$21,$12.81,$1.68,$19.32,2019-11-26
YR4165,New York,Fashion,61424255,$22,$14.3,$1.76,$20.24,2019-11-26
YR4165,New York&,Education,69389343N,$43,$29.67,$1.72,$41.28,2019-11-26
YR4165,New York',Education,58166809,$38,$26.22,$1.14,$36.86,2019-11-26
YR4165,New York,Cosmetics,11914367,$90,$65.7,$5.4,$84.6,2019-11-26
YR4165,New York,Education,95904846K,$18,$11.52,$1.08,$16.92,2019-11-26
YR4165,New York ,Kitchen,77090759`,$86,$56.76,$7.74,$78.26,2019-11-26
YR4165,New York,Groceries,27048034V,$96,$70.08,$2.88,$93.12,2019-11-26
YR4165,New York,Groceries,56939086,$69,$45.54,$2.07,$66.93,2019-11-26
YR4165,New York),Furniture,47372741,$98,$66.64,$2.94,$95.06,2019-11-26
YR4165,New York,Cosmetics,33991394,$18,$12.06,$1.62,$16.38,2019-11-26
YR4165,New York ,Fashion,62124633,$82,$53.3,$4.92,$77.08,2019-11-26
YR4165,New York,Groceries,19231262,$41,$26.24,$4.1,$36.9,2019-11-26
YR4165,New York,Fashion,64700927H,$97,$72.75,$2.91,$94.09,2019-11-26
YR4165,New York*,Cosmetics,17305908,$84,$57.96,$4.2,$79.8,2019-11-26
YR4165,New York(,Cosmetics,56395263,$11,$7.59,$0.99,$10.01,2019-11-26
YR4165,New York,Fashion,36718750E,$34,$24.14,$1.02,$32.98,2019-11-26
YR4165,New York&,Education,98365783G,$44,$31.24,$3.96,$40.04,2019-11-26
YR4165,New York$,Groceries,57024230R,$65,$46.15,$2.6,$62.4,2019-11-26
YR4165,New York$,Education,49976501,$15,$10.2,$1.2,$13.8,2019-11-26
YR4165,New York%,Cosmetics,83352966N,$63,$41.58,$5.04,$57.96,2019-11-26
YR4165,New York,Cosmetics,70930175,$64,$44.16,$6.4,$57.6,2019-11-26
YR4165,New York#,Electronics,68183593,$74,$48.84,$5.92,$68.08,2019-11-26
YR4165,New York,Education,32096252],$59,$40.12,$2.95,$56.05,2019-11-26
YR4165,New York,Education,73825073V,$76,$47.12,$3.8,$72.2,2019-11-26
YR4165,New York,Furniture,12966308Z,$41,$26.24,$2.46,$38.54,2019-11-26
YR4165,New York,Fashion,23699951E,$86,$61.92,$4.3,$81.7,2019-11-26
YR4165,New York,Education,50586242,$69,$46.92,$5.52,$63.48,2019-11-26
YR4165,New York,Furniture,81987915,$12,$9,$0.24,$11.76,2019-11-26
YR4165,New York,Groceries,53439941,$48,$29.76,$1.44,$46.56,2019-11-26
YR4098,New York,Electronics,93930053,$25,$17.5,$2.5,$22.5,2019-11-26
YR4098,New York,Kitchen,54447937,$53,$38.69,$2.12,$50.88,2019-11-26
YR4098,New York,Groceries,98431701,$55,$37.95,$5.5,$49.5,2019-11-26
YR4098,New York+,Groceries,29519958,$44,$32.56,$3.52,$40.48,2019-11-26
YR4098,New York#,Kitchen,86423645C,$59,$35.4,$5.31,$53.69,2019-11-26
YR4098,New York,Cosmetics,22255249T,$71,$49.7,$7.1,$63.9,2019-11-26
YR4098,New York%,Kitchen,43189697,$17,$10.37,$0.85,$16.15,2019-11-26
YR4098,New York,Education,26570129,$65,$46.8,$6.5,$58.5,2019-11-26
YR4098,New York+,Furniture,28176879O,$21,$13.65,$0.63,$20.37,2019-11-26
YR4098,New York,Cosmetics,57469177_,$24,$18,$1.68,$22.32,2019-11-26
YR4098,New York),Fashion,55590515,$23,$17.25,$1.38,$21.62,2019-11-26
YR4098,New York,Kitchen,29964904,$83,$59.76,$4.98,$78.02,2019-11-26
YR4098,New York(,Cosmetics,43717041\,$35,$24.5,$3.15,$31.85,2019-11-26
YR4098,New York$,Cosmetics,83710021,$53,$31.8,$5.3,$47.7,2019-11-26
YR4098,New York',Furniture,13996276F,$39,$28.08,$2.34,$36.66,2019-11-26
YR4098,New York,Education,34590148H,$93,$56.73,$5.58,$87.42,2019-11-26
YR4098,New York,Kitchen,30102233C,$86,$55.04,$5.16,$80.84,2019-11-26
YR4098,New York!,Electronics,95858154,$29,$21.46,$2.61,$26.39,2019-11-26
YR4098,New York),Kitchen,27100219S,$91,$64.61,$9.1,$81.9,2019-11-26
YR4098,New York,Kitchen,34656066G,$77,$52.36,$7.7,$69.3,2019-11-26
YR4098,New York,Education,15169067,$91,$61.88,$3.64,$87.36,2019-11-26
YR4098,New York,Furniture,29948425,$97,$69.84,$2.91,$94.09,2019-11-26
YR4098,New York,Fashion,78472290,$96,$66.24,$7.68,$88.32,2019-11-26
YR4098,New York&,Electronics,51292114,$61,$38.43,$5.49,$55.51,2019-11-26
YR4098,New York,Kitchen,44365234S,$97,$65.96,$5.82,$91.18,2019-11-26
YR4098,New York,Education,33238830,$22,$14.74,$0.88,$21.12,2019-11-26
YR4098,New York,Groceries,86846618,$11,$8.03,$0.66,$10.34,2019-11-26
YR4098,New York ,Groceries,98926086J,$56,$38.08,$1.68,$54.32,2019-11-26
YR4098,New York,Cosmetics,44161987J,$55,$35.2,$4.4,$50.6,2019-11-26
YR4098,New York&,Groceries,39281311,$52,$32.24,$2.6,$49.4,2019-11-26
YR4098,New York,Education,30473022_,$87,$53.07,$3.48,$83.52,2019-11-26
YR4098,"New York""",Groceries,34469299F,$16,$11.36,$0.32,$15.68,2019-11-26
YR4098,New York&,Education,54228210,$80,$59.2,$5.6,$74.4,2019-11-26
YR4098,New York,Cosmetics,35221862W,$32,$20.48,$2.24,$29.76,2019-11-26
YR4098,New York*,Kitchen,18209533,$48,$36,$2.88,$45.12,2019-11-26
YR4098,New York,Electronics,83284301I,$65,$44.2,$3.25,$61.75,2019-11-26
YR4098,New York,Groceries,74053039,$87,$64.38,$6.09,$80.91,2019-11-26
YR4098,New York$,Furniture,93150024M,$70,$51.1,$2.1,$67.9,2019-11-26
YR4098,New York#,Cosmetics,18995056W,$52,$38.48,$5.2,$46.8,2019-11-26
YR4098,New York,Education,30184631J,$66,$42.9,$1.32,$64.68,2019-11-26
YR4098,New York,Education,22606811A,$77,$50.82,$6.93,$70.07,2019-11-26
YR4098,"New York""",Kitchen,91353759O,$61,$39.65,$1.22,$59.78,2019-11-26
YR4098,New York,Cosmetics,27987365H,$51,$37.23,$2.04,$48.96,2019-11-26
YR4098,New York,Fashion,28481750,$73,$53.29,$5.84,$67.16,2019-11-26
YR4098,New York+,Electronics,61682434P,$80,$48.8,$3.2,$76.8,2019-11-26
YR4098,New York,Groceries,14540100A,$24,$17.76,$0.96,$23.04,2019-11-26
YR4098,New York,Electronics,74956665,$90,$57.6,$3.6,$86.4,2019-11-26
YR4098,New York!,Kitchen,29981384A,$92,$66.24,$3.68,$88.32,2019-11-26
YR4226,New York,Furniture,65524902,$30,$18.9,$1.2,$28.8,2019-11-26
YR4226,New York,Kitchen,49399719Z,$63,$37.8,$3.15,$59.85,2019-11-26
YR4226,New York(,Kitchen,56513366E,$68,$46.92,$4.76,$63.24,2019-11-26
YR4226,New York,Education,28767395,$12,$8.28,$0.72,$11.28,2019-11-26
YR4226,New York!,Education,21703186E,$94,$59.22,$4.7,$89.3,2019-11-26
YR4226,New York ,Education,61325378,$93,$64.17,$5.58,$87.42,2019-11-26
YR4226,New York$,Education,56274414G,$59,$38.94,$1.77,$57.23,2019-11-26
YR4226,New York,Kitchen,87275085B,$11,$7.48,$0.22,$10.78,2019-11-26
YR4226,New York$,Groceries,79988403V,$31,$20.15,$0.93,$30.07,2019-11-26
YR4226,New York,Education,71424560K,$19,$12.73,$1.52,$17.48,2019-11-26
YR4226,New York,Kitchen,99697875I,$12,$8.88,$0.84,$11.16,2019-11-26
YR4226,New York,Education,69565124U,$13,$8.84,$0.65,$12.35,2019-11-26
YR4226,New York,Furniture,62561340,$54,$35.1,$2.7,$51.3,2019-11-26
YR4226,New York,Kitchen,60795288[,$40,$27.2,$4,$36,2019-11-26
YR4226,New York#,Education,38968200D,$55,$41.25,$3.3,$51.7,2019-11-26
YR4226,New York,Cosmetics,56428222,$49,$29.89,$1.47,$47.53,2019-11-26
YR4226,New York,Cosmetics,58611755Z,$21,$13.02,$1.26,$19.74,2019-11-26
YR4226,New York+,Education,92188720F,$22,$14.52,$0.66,$21.34,2019-11-26
YR4226,New York,Education,69869995,$58,$41.76,$1.74,$56.26,2019-11-26
YR4226,New York,Education,44480590H,$69,$50.37,$3.45,$65.55,2019-11-26
YR4226,New York,Education,95295104R,$74,$51.06,$7.4,$66.6,2019-11-26
YR4226,New York&,Furniture,42060852,$17,$10.2,$1.7,$15.3,2019-11-26
YR4226,New York,Groceries,36466064,$47,$28.2,$2.35,$44.65,2019-11-26
YR4226,New York,Kitchen,45697326U,$48,$35.04,$4.32,$43.68,2019-11-26
YR4226,New York%,Fashion,86269836,$71,$43.31,$4.26,$66.74,2019-11-26
YR4226,New York!,Education,48062133J,$19,$12.35,$1.9,$17.1,2019-11-26
YR4226,New York,Fashion,20566101X,$24,$17.04,$0.72,$23.28,2019-11-26
YR4226,New York,Groceries,34724731L,$61,$40.87,$1.83,$59.17,2019-11-26
YR4226,New York,Fashion,77362670N,$40,$25.6,$2.8,$37.2,2019-11-26
YR4226,New York),Cosmetics,28737182,$52,$36.92,$5.2,$46.8,2019-11-26
YR4226,New York,Furniture,10769042Y,$26,$18.72,$1.82,$24.18,2019-11-26
YR4226,"New York""",Furniture,31253051,$81,$58.32,$4.86,$76.14,2019-11-26
YR4226,New York*,Furniture,45540771\,$11,$7.04,$0.66,$10.34,2019-11-26
YR4226,New York&,Education,17421264P,$17,$12.07,$0.68,$16.32,2019-11-26
YR4226,New York,Electronics,55933837U,$31,$20.77,$1.55,$29.45,2019-11-26
YR4226,New York,Education,98025207,$38,$25.84,$1.9,$36.1,2019-11-26
YR4226,New York*,Cosmetics,49331054,$80,$49.6,$2.4,$77.6,2019-11-26
YR4226,New York(,Electronics,24504699T,$62,$39.06,$6.2,$55.8,2019-11-26
YR4226,New York$,Education,46988220,$100,$69,$10,$90,2019-11-26
YR4226,New York,Groceries,92479858,$78,$56.16,$7.8,$70.2,2019-11-26
YR4226,New York,Education,72363891\,$65,$42.9,$5.2,$59.8,2019-11-26
YR4226,New York,Education,13754577A,$32,$20.8,$2.56,$29.44,2019-11-26
YR4226,New York&,Kitchen,58441467`,$85,$51.85,$8.5,$76.5,2019-11-26
YR4226,New York,Education,79782409,$26,$15.86,$2.6,$23.4,2019-11-26
YR4226,New York%,Cosmetics,55148315,$39,$28.47,$3.51,$35.49,2019-11-26
YR4226,New York,Fashion,43118286],$34,$24.14,$2.04,$31.96,2019-11-26
YR5253,New York',Education,98739318,$61,$44.53,$4.88,$56.12,2019-11-26
YR5253,New York$,Cosmetics,54244689,$76,$51.68,$6.08,$69.92,2019-11-26
YR5253,New York#,Furniture,53612976,$46,$29.9,$3.22,$42.78,2019-11-26
YR5253,New York,Furniture,91257629,$73,$50.37,$6.57,$66.43,2019-11-26
YR5253,New York,Kitchen,17597045,$23,$17.25,$0.69,$22.31,2019-11-26
YR5253,New York,Education,93106079C,$57,$37.05,$1.71,$55.29,2019-11-26
YR5253,New York,Groceries,20154113Z,$33,$21.78,$0.99,$32.01,2019-11-26
YR5253,New York,Kitchen,43615417,$96,$57.6,$4.8,$91.2,2019-11-26
YR5253,New York ,Fashion,92666625,$73,$51.1,$2.19,$70.81,2019-11-26
YR5253,New York,Cosmetics,35955200,$27,$19.17,$1.35,$25.65,2019-11-26
YR5253,New York,Cosmetics,95465393,$35,$24.85,$1.75,$33.25,2019-11-26
YR5253,New York%,Groceries,61885681Y,$58,$37.12,$2.32,$55.68,2019-11-26
YR5253,New York%,Groceries,91999206^,$27,$19.71,$1.35,$25.65,2019-11-26
YR5253,New York,Education,27163391,$14,$9.1,$1.26,$12.74,2019-11-26
YR5253,"New York""",Cosmetics,83146972,$98,$69.58,$1.96,$96.04,2019-11-26
YR5253,New York,Cosmetics,43837890_,$42,$31.08,$2.94,$39.06,2019-11-26
YR5253,New York,Furniture,36724243,$100,$71,$5,$95,2019-11-26
YR5253,New York,Fashion,65198059S,$68,$49.64,$4.76,$63.24,2019-11-26
YR5253,New York,Furniture,29322204Q,$92,$62.56,$3.68,$88.32,2019-11-26
YR5253,New York,Education,42947998,$73,$46.72,$2.92,$70.08,2019-11-26
YR5253,New York ,Education,97802734],$72,$49.68,$7.2,$64.8,2019-11-26
YR5253,New York,Cosmetics,35886535,$41,$27.88,$1.64,$39.36,2019-11-26
YR5253,New York,Furniture,17102661,$81,$56.7,$5.67,$75.33,2019-11-26
